id_localidad,pdu,spread,deathsx,pob_loc
32005,0,-0.034222811460495,16.61773666426633,36106
32019,1,0.0236901044845581,8.730193373783234,22909
32036,1,0.00371000170707703,13.317352510320958,37545
7002,0,-0.0348068177700043,7.691420220743766,26003
7061,1,0.0268316715955734,4.14215889321515,72426
7068,1,0.028424859046936,6.76063955650205,29583
7087,1,0.00282885134220123,48.52013585638037,32976
7089,0,-0.0331668555736542,7.081651441116066,282420
7091,1,0.0312117338180542,0,9934
7100,1,0.0115501284599304,6.924248719013984,28884
7102,0,-0.0473984479904175,2.9324653235975497,34101
7103,1,0.0330287963151932,8.191014457140517,24417
7106,1,0.0071789026260376,0,56833
7116,0,-0.00742942094802856,0,8538
7117,0,-0.0381157994270325,15.358623867301501,6511
7118,1,0.0327959954738617,0,3145
8004,0,-0.0190243721008301,450.74050225370337,6212
