id_localidad,p_conncected,pdu,spread,deathsx,analfabetismo,sin_edbasica,sin_acceso_energia,pisotierra,sin_drenaje,año
1001,690.83185,0,-0.0285115838050842,8.436566013362969,2.591088724,31.15894716,0.313299613,1.418601353,0.766202505,2010
2004,499.46393,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
25009,652.84827,0,-0.00833922624588013,48.333501157990156,5.79889289,44.01567573,0.927891208,6.022372039,10.70031593,2010
1001,720.60187,0,-0.0285115838050842,8.436566013362969,2.591088724,31.15894716,0.313299613,1.418601353,0.766202505,2010
2004,450.71271,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
28032,556.71301,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
8031,492.39752,1,0.0225104689598083,99.3315256785417,5.94795539,63.47014432,6.294904247,5.345228661,5.016884977,2010
2004,559.22272,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
1001,418.07687,0,-0.0285115838050842,8.436566013362969,2.591088724,31.15894716,0.313299613,1.418601353,0.766202505,2010
8019,561.78436,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
2004,461.76944,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
8019,425.3512,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
2004,641.65802,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
1007,496.2399,0,-0.00924873352050781,8.7968155527699,4.69828405,39.42567972,0.797926615,3.68289893,1.221529977,2010
2001,500.66824,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
8032,530.86279,1,0.00794285535812378,124.61480501164033,2.372669351,35.01274089,0.442865623,2.095638882,0.938134114,2010
1006,473.56088,1,0.0123832225799561,5.13980263157895,4.105108416,39.04600878,0.978722383,1.542262305,1.454737499,2010
2001,666.82074,1,0.0145950019359589,16.44573753086599,4.773590275,39.30446374,2.621478136,3.821121422,8.965771414,2010
8019,361.88803,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
8019,393.14673,1,0.00165876746177673,144.3085118300034,1.375564552,26.55691114,0.225492403,1.267453615,1.770233273,2010
29013,808.57129,1,0.0246685445308685,2.5948414551870833,6.559753877,45.76034674,1.052930459,2.675858155,0.902616761,2010
8032,595.26794,1,0.00794285535812378,124.61480501164033,2.372669351,35.01274089,0.442865623,2.095638882,0.938134114,2010
2004,346.93036,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
8027,407.7789,0,-0.0490076243877411,209.2369390379458,25.33234383,69.76488154,52.59241086,24.53056902,58.94341318,2010
32005,618.78302,0,-0.034222811460495,16.61773666426633,4.665641814,51.59333932,0.985669876,2.103081317,1.904641457,2010
2004,410.91232,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
2004,419.10229,1,0.0128673017024994,88.60930879777017,2.112219043,35.49257041,0.577693269,3.993682607,2.242126583,2010
2003,614.35266,1,0.0176047682762146,35.15170156205379,2.479279998,39.32775886,2.503206499,3.281373788,10.64382917,2010
28032,658.64783,0,-0.0472442209720612,15.942667132293765,2.578863207,32.66246983,0.897871455,2.855556248,1.967214316,2010
